title,platform_group,nintendo_relation,genre_main,player_type,play_situation,difficulty,mood,session_length,beginner_friendly,local_multiplayer,online_multiplayer,budget_tier,buying_advice
Daemon X Machina,Switch Compatible,Nintendo Published,Action,Core Player,Solo|Online,Medium,Exciting,Medium,No,No,Yes,Medium,A mech action pick for players who like customization and combat.
Donkey Kong Bananza,Switch 2,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Donkey Kong Country Returns HD,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Donkey Kong Country: Tropical Freeze,Switch Compatible,Nintendo Core,Platformer,Core Player,Family|Friends,Hard,Exciting,Medium,No,Yes,No,Medium,Excellent for platforming fans who want tight stages and co-op challenge.
Dragon Quest Builders,Switch Compatible,Third-party,RPG,Explorer,Solo|Long Session,Easy,Creative,Long,Yes,No,No,Medium,"Good for players who like building, crafting, and relaxed adventure goals."
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Switch Compatible,Third-party,RPG,Core Player,Solo|Long Session,Medium,Story,Long,No,No,No,High,A classic long JRPG route for story-focused players.
Everybody 1-2-Switch!,Switch Compatible,Nintendo Core,Party,Party Player,Friends|Family|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Fire Emblem Engage,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Fire Emblem Warriors,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Fire Emblem: Three Houses,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Flip Wars,Switch Compatible,Nintendo Published,Party,Party Player,Friends|Party|Short Break,Easy,Chaotic,Short,Yes,Yes,No,Low,A fast local party pick when the group wants simple chaos.
Go Vacation,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Good Job!,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Hades,Switch Compatible,Indie,Action,Core Player,Solo|Short Break,Hard,Exciting,Short,No,No,No,Low,Great low-cost action value for players who enjoy repeated skill-based runs.
Hollow Knight,Switch Compatible,Indie,Adventure,Core Player,Solo|Long Session,Hard,Tense,Long,No,No,No,Low,Excellent budget pick for patient players who like challenge and exploration.
Hyrule Warriors: Age of Calamity,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Hyrule Warriors: Definitive Edition,Switch Compatible,Nintendo Published,Action,Core Player,Family|Friends|Long Session,Medium,Exciting,Long,No,Yes,No,Medium,A content-heavy action pick for players who like repeated battles and character variety.
Jump Rope Challenge,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Kirby and the Forgotten Land,Switch Compatible,Nintendo Published,Platformer,Beginner,Solo|Short Break,Easy,Cute,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Kirby and the Forgotten Land + Star-Crossed World,Switch 2 Edition,Nintendo Published,Platformer,Beginner,Solo|Short Break,Easy,Cute,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Kirby Fighters 2,Switch Compatible,Nintendo Published,Fighting|Party,Competitive Player,Friends|Online|Party|Short Break,Medium,Exciting,Short,Yes,Yes,Yes,Medium,A cute but competitive Kirby versus pick for short matches.
Kirby Star Allies,Switch Compatible,Nintendo Published,Platformer,Beginner,Solo|Short Break,Easy,Cute,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Little Town Hero,Switch Compatible,Third-party,RPG,Story Player,Solo,Medium,Story,Medium,Yes,No,No,Medium,A smaller story RPG pick for solo players who want a lighter scale.
Luigi's Mansion 3,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Mario Kart 8 Deluxe,Switch Compatible,Nintendo Core,Racing,Party Player,Friends|Family|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Mario Kart Live: Home Circuit,Switch Compatible,Nintendo Core,Racing,Party Player,Friends|Family|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Mario Kart World,Switch 2,Nintendo Core,Racing,Party Player,Friends|Family|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Mario Strikers: Battle League,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Mario Tennis Aces,Switch Compatible,Nintendo Core,Sports,Competitive Player,Friends|Short Break,Medium,Exciting,Short,Yes,Yes,No,Medium,Good for local sports competition with accessible rules and skill depth.
Mario vs. Donkey Kong,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Marvel Ultimate Alliance 3: The Black Order,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Metroid Dread,Switch Compatible,Nintendo Core,Shooter,Competitive Player,Solo|Short Break,Medium,Exciting,Medium,No,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Metroid Prime 4: Beyond,Switch Compatible,Nintendo Core,Shooter,Competitive Player,Solo|Short Break,Medium,Exciting,Medium,No,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Metroid Prime Remastered,Switch Compatible,Nintendo Core,Shooter,Competitive Player,Solo|Short Break,Medium,Exciting,Medium,No,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
New Pokemon Snap,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
New Super Mario Bros. U Deluxe,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Nintendo Switch Sports,Switch Compatible,Nintendo Published,Sports,Family Player,Friends|Family|Party|Short Break,Easy,Active,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Octopath Traveler,Switch Compatible,Third-party,RPG,Core Player,Solo|Long Session,Medium,Story,Long,No,No,No,Medium,A good JRPG pick for players who like turn-based battles and anthology stories.
Overcooked 2,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Paper Mario: The Origami King,Switch Compatible,Nintendo Core,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Paper Mario: The Thousand-Year Door,Switch Compatible,Nintendo Core,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Part Time UFO,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Pikmin 3 Deluxe,Switch Compatible,Nintendo Core,Adventure,Relaxed Player,Family|Friends,Easy,Healing,Medium,Yes,Yes,No,Medium,A gentle strategy adventure with co-op support and approachable goals.
Pikmin 4,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Pokemon HOME,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Pokemon Legends: Arceus,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Pokémon Legends: Z-A,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Pokemon Mystery Dungeon: Rescue Team DX,Switch Compatible,Nintendo Published,RPG,Beginner,Solo,Easy,Cute,Medium,Yes,No,No,Medium,A friendly Pokemon dungeon route for solo players who want a gentler RPG.
Pokemon Quest,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Pokemon Scarlet,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Pokemon Shield,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Pokemon Sword,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Pokemon Violet,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Pokken Tournament DX,Switch Compatible,Nintendo Published,Fighting,Competitive Player,Friends|Family|Party|Short Break,Hard,Exciting,Medium,No,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Princess Peach: Showtime!,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Ring Fit Adventure,Switch Compatible,Nintendo Core,Sports,Family Player,Friends|Family|Party|Short Break,Easy,Active,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Sine Mora EX,Switch Compatible,Third-party,Shooter,Core Player,Solo|Short Break,Hard,Tense,Short,No,No,No,Low,A focused shooter pick for players who want arcade challenge.
Snipperclips - Cut it out together!,Switch Compatible,Nintendo Published,Puzzle,Party Player,Friends|Party|Short Break,Easy,Creative,Short,Yes,Yes,No,Low,A clever co-op puzzle pick for pairs and small groups.
Splatoon 2,Switch Compatible,Nintendo Core,Shooter,Competitive Player,Online|Short Break,Medium,Exciting,Medium,Yes,No,Yes,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Splatoon 3,Switch Compatible,Nintendo Core,Shooter,Competitive Player,Online|Short Break,Medium,Exciting,Medium,Yes,No,Yes,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Stardew Valley,Switch Compatible,Indie,Simulation,Relaxed Player,Couple|Friends|Long Session,Easy,Healing,Long,Yes,Yes,No,Low,"Excellent low-price long-term game for farming, routine, and cozy progression."
Super Kirby Clash,Switch Compatible,Nintendo Published,Platformer,Beginner,Solo|Short Break,Easy,Cute,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Super Mario 3D World + Bowser's Fury,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Super Mario Bros. Wonder,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Super Mario Maker 2,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Super Mario Odyssey,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Super Mario Party,Switch Compatible,Nintendo Core,Party,Party Player,Friends|Family|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Super Mario Party Jamboree,Switch Compatible,Nintendo Core,Party,Party Player,Friends|Family|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Super Mario RPG,Switch Compatible,Nintendo Core,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Super Smash Bros. Ultimate,Switch Compatible,Nintendo Published,Fighting,Competitive Player,Friends|Family|Party|Short Break,Hard,Exciting,Medium,No,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Sushi Striker: The Way of Sushido,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Tetris 99,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
The Legend of Zelda: Breath of the Wild,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
The Legend of Zelda: Echoes of Wisdom,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
The Legend of Zelda: Tears of the Kingdom,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
The Stretchers,Switch Compatible,Nintendo Published,Puzzle,Party Player,Friends|Party|Short Break,Easy,Chaotic,Short,Yes,Yes,No,Low,A funny co-op rescue pick for players who enjoy silly coordination.
The World Ends with You: Final Remix,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Tokyo Mirage Sessions #FE Encore,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Travis Strikes Again: No More Heroes,Switch Compatible,Third-party,Action,Core Player,Friends,Hard,Tense,Medium,No,Yes,No,Medium,A niche action pick for players who want offbeat style and co-op support.
WarioWare: Move It!,Switch Compatible,Nintendo Core,Party,Party Player,Friends|Family|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Xenoblade Chronicles 2,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Xenoblade Chronicles 2: Torna ~ The Golden Country,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,No,No,No,Medium,A focused Xenoblade story route for players who want a shorter but substantial JRPG.
Xenoblade Chronicles 3,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Xenoblade Chronicles X: Definitive Edition,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Xenoblade Chronicles: Definitive Edition,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Nintendo Switch 2 Welcome Tour,Switch 2,Nintendo Published,Puzzle,Beginner,Solo|Short Break,Easy,Creative,Short,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Nintendo GameCube - Nintendo Classics,Switch 2,Nintendo Published,Adventure,Explorer,Online|Short Break,Easy,Immersive,Medium,Yes,No,Yes,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Drag x Drive,Switch 2,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Hyrule Warriors: Age of Imprisonment,Switch 2,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Kirby Air Riders,Switch 2,Nintendo Published,Racing,Party Player,Friends|Family|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Mario Tennis Fever,Switch 2,Nintendo Core,Sports,Family Player,Friends|Family|Party|Short Break,Easy,Active,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Pokemon Pokopia,Switch 2,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Yoshi and the Mysterious Book,Switch 2,Nintendo Core,Platformer,Beginner,Solo|Short Break,Easy,Cute,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Star Fox,Switch 2,Nintendo Published,Shooter,Competitive Player,Solo|Short Break,Medium,Exciting,Medium,No,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Splatoon Raiders,Switch 2,Nintendo Core,Shooter,Competitive Player,Online|Short Break,Medium,Exciting,Medium,Yes,No,Yes,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Fitness Boxing 3: Your Personal Trainer – Nintendo Switch 2 Edition,Switch 2 Edition,Nintendo Published,Sports,Family Player,Friends|Family|Party|Short Break,Easy,Active,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Tomodachi Life 朋友收集 夢想生活,Switch Compatible,Nintendo Published,Simulation,Relaxed Player,Solo|Long Session,Easy,Healing,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Pokémon Champions,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Virtual Boy – Nintendo Classics,Switch Compatible,Nintendo Published,Adventure,Explorer,Online|Short Break,Easy,Immersive,Medium,Yes,No,Yes,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
密特羅德 究極4 穿越未知 Nintendo Switch 2 Edition,Switch 2 Edition,Nintendo Core,Shooter,Competitive Player,Solo|Short Break,Medium,Exciting,Medium,No,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
寶可夢傳說 Z-A Nintendo Switch 2 Edition,Switch 2 Edition,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
超級瑪利歐派對 空前盛會 Nintendo Switch 2 Edition + 空前盛會TV,Switch 2 Edition,Nintendo Core,Party,Party Player,Friends|Family|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Pokémon Friends,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
異度神劍X 終極版,Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Fitness Boxing 3: Your Personal Trainer,Switch Compatible,Nintendo Published,Sports,Family Player,Friends|Family|Party|Short Break,Easy,Active,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Famicom偵探俱樂部 笑臉男ＥＭＩＯ,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Nintendo World Championships Famicom世界大會,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
路易吉洋樓２ HD,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
