title,platform,date,meta_score,user_score,link,esrb_rating,developers,genres,platform_group,nintendo_relation,genre_main,player_type,play_situation,difficulty,mood,session_length,beginner_friendly,local_multiplayer,online_multiplayer,budget_tier,buying_advice,title_en,title_ko,title_zh,localization_note,image_url,image_file,official_url_en,official_url_ko,official_url_zh,media_note,normalized_title
Splatoon Raiders,Nintendo Switch 2,2026-07-23,,,,,Nintendo,"['Shooter', 'Action', 'Online']",Switch 2,Nintendo Core,Shooter,Competitive Player,Online|Short Break,Medium,Exciting,Medium,Yes,No,Yes,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Splatoon Raiders,스플래툰 레이더스,斯普拉遁 塗擊隊,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/700100001228270b216ace3dbe11f1981251d357ba780b/8c42325f9e62bb74a17434734d2bd1a0/ac10d398536e75dbd5ab9961c04d8fdaeaa35b531a173adfedf684ec18a8460d.jpg,data/media_images/splatoon_raiders.jpg,https://www.nintendo.com/us/store/products/splatoon-raiders-switch-2/,https://store.nintendo.co.kr/70010000122826,https://www.nintendo.com/hk/games/switch2/aadla/index.html,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,splatoon raiders
Mario Tennis Fever,Nintendo Switch 2,2026-02-12,,,,,Nintendo,"['Sports', 'Multiplayer']",Switch 2,Nintendo Core,Sports,Family Player,Friends|Family|Party|Short Break,Easy,Active,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Mario Tennis Fever,마리오 테니스 피버,瑪利歐網球 狂熱,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/700100001058721dcf6aa3901411f09ebe834f03113de6/8525f6b6d734b81f6b0d2fa3a1a89d75/7db3bbe3483f58683b80c649341e821648ac8bbae434ff668ceaac2bca5bf5ff.jpg,data/media_images/mario_tennis_fever.jpg,https://www.nintendo.com/us/store/products/mario-tennis-fever-switch-2/,https://www.nintendo.com/kr/games/switch2/aaaea/index.html,https://ec.nintendo.com/HK/zh/titles/70010000105872,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,mario tennis fever
集合啦！動物森友會 Nintendo Switch 2 Edition,Nintendo Switch 2 Edition,2026-01-15,,,,,Nintendo,['Simulation'],Switch 2 Edition,Nintendo Published,Simulation,Relaxed Player,Solo|Long Session,Easy,Healing,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",集合啦！動物森友會 Nintendo Switch 2 Edition,,集合啦！動物森友會 Nintendo Switch 2 Edition,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/70010000110443304ce01bb5cc11f0aa1dade78a2b778e/8b0b54ccf1215b423c63b3ec443b7d87/433bd20a4fd8d4c6223c4f66c34618435366174e6ab09b6598bb240e33d1eb32.jpg,data/media_images/hk_70010000110443.jpg,https://www.nintendo.com/hk/games/switch2/acbaa/index.html?srsltid=AfmBOooKnX48Ov6dr8Cbb-OaQ0A2GnUfMvnsP5odVx4YEPWot8MLApdL,,https://www.nintendo.com/hk/games/switch2/acbaa/index.html?srsltid=AfmBOooKnX48Ov6dr8Cbb-OaQ0A2GnUfMvnsP5odVx4YEPWot8MLApdL,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,集合啦 動物森友會 nintendo switch 2 edition
Metroid Prime 4: Beyond,Nintendo Switch,2025-12-04,,,,T,Nintendo,"['Action', 'Adventure', 'First-Person']",Switch Compatible,Nintendo Core,Shooter,Competitive Player,Solo|Short Break,Medium,Exciting,Medium,No,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Metroid Prime 4: Beyond,메트로이드 프라임 4 비욘드,密特羅德 究極4 穿越未知,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000084766/1bcf06d845f9027b4330e8d07658845a2fe3d66882bdaeb70325aeb35c54f1c9",data/media_images/metroid_prime_4_beyond.jpg,https://www.nintendo.com/us/store/products/metroid-prime-4-beyond-switch/,https://www.nintendo.com/kr/games/switch2/bgw5a/,https://www.nintendo.com/hk/games/switch2/bgw5a/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,metroid prime 4 beyond
密特羅德 究極4 穿越未知 Nintendo Switch 2 Edition,Nintendo Switch 2 Edition,2025-12-04,,,,,Nintendo,['Shooter'],Switch 2 Edition,Nintendo Core,Shooter,Competitive Player,Solo|Short Break,Medium,Exciting,Medium,No,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",密特羅德 究極4 穿越未知 Nintendo Switch 2 Edition,,密特羅德 究極4 穿越未知 Nintendo Switch 2 Edition,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/70010000104852290654a8901411f08f2ab59bdd1bd51c/00cda45f858de1f9f3427219f67c8052/137a103b80e9cc94b88b955d5e660cb5f7ed95bb2f88e3cde67444aa9eb362fa.jpg,data/media_images/hk_70010000104852.jpg,https://www.nintendo.com/hk/games/switch2/bgw5a/,,https://www.nintendo.com/hk/games/switch2/bgw5a/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,密特羅德 究極4 穿越未知 nintendo switch 2 edition
Kirby Air Riders,Nintendo Switch 2,2025-11-20,,,,,Nintendo,"['Racing', 'Action', 'Multiplayer']",Switch 2,Nintendo Published,Racing,Party Player,Friends|Family|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Kirby Air Riders,커비의 에어 라이더,卡比的馭天飛行者,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/70010000103778e98f48dc894311f0bf4fff65488e78ef/351b7631b43f4bddc7eb865001a4c21f/d5a796526b37a5b9b29e0b8ee5974c202ef85295a793b9a5bc1c80b96ee9da63.jpg,data/media_images/kirby_air_riders.jpg,https://www.nintendo.com/us/store/products/kirby-air-riders-switch-2/,https://www.nintendo.com/kr/games/switch2/aaaba/,https://www.nintendo.com/hk/games/switch2/aaaba/index.html,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,kirby air riders
Hyrule Warriors: Age of Imprisonment,Nintendo Switch 2,2025-11-06,,,,,Nintendo,"['Action', 'Adventure']",Switch 2,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Hyrule Warriors: Age of Imprisonment,젤다무쌍 봉인 전기,ZELDA無雙 封印戰記,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/70010000103949ddf2b178894311f0a72cff65488e78ef/98677676082f7f2a556aa24bd74d1fbd/9972be610a6afe1c928b148fe1339f6e13f4c0f511ab9437fdcfdc039f9471ce.jpg,data/media_images/hyrule_warriors_age_of_imprisonment.jpg,https://www.nintendo.com/us/store/products/hyrule-warriors-age-of-imprisonment-switch-2/,https://www.nintendo.com/kr/games/switch2/zelda-fuuin/,https://www.nintendo.com/hk/games/switch2/aagab/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,hyrule warriors age of imprisonment
Pokémon Legends: Z-A,Nintendo Switch,2025-10-16,,,,E10+,Nintendo,"['RPG', 'Adventure']",Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Pokémon Legends: Z-A,Pokémon LEGENDS Z-A,寶可夢傳說 Z-A,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/2htwpBRdECitgXl03aB1BK/dd103e1020f03a52121f514e52b039cc/e72e6e9d16a3fb957dfe3f2786596b61a7b8dd5b74d7b3c61bae18b35d47f55c.jpg,data/media_images/hk_70010000094237.jpg,https://www.pokemon.co.jp/ex/legends_z-a/tc/,,https://www.pokemon.co.jp/ex/legends_z-a/tc/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,pokémon legends z a
寶可夢傳說 Z-A Nintendo Switch 2 Edition,Nintendo Switch 2 Edition,2025-10-16,,,,,Nintendo,['RPG'],Switch 2 Edition,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",寶可夢傳說 Z-A Nintendo Switch 2 Edition,,寶可夢傳說 Z-A Nintendo Switch 2 Edition,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/70010000099368e062b98d894311f0849cf3742ad39172/44670fe7c85d8d562217e86490694042/b87f1125dd9191ab688419a64ad0197d3477046b7effc04f86f0c7e4c3efd829.jpg,data/media_images/hk_70010000099368.jpg,https://www.pokemon.co.jp/ex/legends_z-a/tc/,,https://www.pokemon.co.jp/ex/legends_z-a/tc/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,寶可夢傳說 z a nintendo switch 2 edition
超級瑪利歐銀河,Nintendo Switch,2025-10-02,,,,,Nintendo,['Adventure'],Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",超級瑪利歐銀河,,超級瑪利歐銀河,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/70010000104190ff7857b2901311f099585db880ebc9c0/f266de9458f7341ff4882a94f04c0ade/a4b83fe878411b7bf7c156155ce84a709c5c64fd1626a5176ee1bdcbae0924aa.jpg,data/media_images/hk_70010000104190.jpg,https://ec.nintendo.com/HK/zh/titles/70010000104190,,https://ec.nintendo.com/HK/zh/titles/70010000104190,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,超級瑪利歐銀河
超級瑪利歐銀河 ＋ 超級瑪利歐銀河 ２,Nintendo Switch,2025-10-02,,,,,Nintendo,['Adventure'],Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",超級瑪利歐銀河 ＋ 超級瑪利歐銀河 ２,,超級瑪利歐銀河 ＋ 超級瑪利歐銀河 ２,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/70070000030643679fd122951a11f09621473225027115/5512b28f8c3777500e9544a25383a42b/e90d82826b3e3006cf55d534be5e96e0a53999e1d7f761ba90de40ec0055772a.jpg,data/media_images/hk_70070000030643.jpg,https://www.nintendo.com/hk/switch/bpdpa/index.html,,https://www.nintendo.com/hk/switch/bpdpa/index.html,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,超級瑪利歐銀河 超級瑪利歐銀河 2
Kirby and the Forgotten Land + Star-Crossed World,Nintendo Switch 2 Edition,2025-08-28,85.0,8.3,,E10+,Nintendo,"['Action', 'Platformer']",Switch 2 Edition,Nintendo Published,Platformer,Beginner,Solo|Short Break,Easy,Cute,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Kirby and the Forgotten Land + Star-Crossed World,별의 커비 디스커버리 Nintendo Switch 2 Edition + 스타 크로스드 월드,星之卡比 探索發現 Nintendo Switch 2 Edition + 星耀世界,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch2/70010000096829/0a06bf277f1eb585fcbb7ddeb4f70014fd1c860d326eb33c8accf4d4827ade72",data/media_images/kirby_and_the_forgotten_land_star_crossed_world.jpg,https://www.nintendo.com/us/store/products/kirby-and-the-forgotten-land-nintendo-switch-2-edition-plus-star-crossed-world-switch-2/,https://www.nintendo.com/kr/games/switch2/arzga/,https://www.nintendo.com/hk/games/switch2/arzga/index.html,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,kirby and the forgotten land star crossed world
Drag x Drive,Nintendo Switch 2,2025-08-14,,,,,Nintendo,"['Sports', 'Action', 'Multiplayer']",Switch 2,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Drag x Drive,Drag x Drive,拖曳＆突破,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/70010000099954dc912537894311f0a5c171ba1e81c7be/7297cf36cce500a02e7e390f7a5380ff/dd051fb7702a2d43a6b4e7f0c12299749ebff278994e03f089c6f12b3f2a0108.jpg,data/media_images/drag_x_drive.jpg,https://www.nintendo.com/us/store/products/drag-x-drive-switch-2/,https://www.nintendo.com/kr/games/switch2/aaaqa/,https://www.nintendo.com/hk/games/switch2/aaaqa/index.html,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,drag x drive
超級瑪利歐派對 空前盛會 Nintendo Switch 2 Edition + 空前盛會TV,Nintendo Switch 2 Edition,2025-07-24,,,,,Nintendo,['Party'],Switch 2 Edition,Nintendo Core,Party,Party Player,Friends|Family|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",超級瑪利歐派對 空前盛會 Nintendo Switch 2 Edition + 空前盛會TV,,超級瑪利歐派對 空前盛會 Nintendo Switch 2 Edition + 空前盛會TV,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/70010000096828db21334c894311f0816bfdf6f074b2a1/b25bbd88a94f59b843984bdea4393651/ffd161d63ca3f0f0bb917d54a1d97be91434b11829564000dc35fcf76b9bec62.jpg,data/media_images/hk_70010000096828.jpg,https://ec.nintendo.com/HK/zh/titles/70010000096828,,https://ec.nintendo.com/HK/zh/titles/70010000096828,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,超級瑪利歐派對 空前盛會 nintendo switch 2 edition 空前盛會tv
Pokémon Friends,Nintendo Switch,2025-07-22,,,,,Nintendo,['RPG'],Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Pokémon Friends,,Pokémon Friends,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/700100001020552d399099673711f08e9a4da9f2129181/fed4483c42dc719ea6519aa24ba6742d/c1db55f3c27e7fde990b454f1ef283817943023c4d87cbe488e85ef04060b55c.jpg,data/media_images/hk_70010000102055.jpg,https://ec.nintendo.com/HK/zh/titles/70010000102055,,https://ec.nintendo.com/HK/zh/titles/70010000102055,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,pokémon friends
